anime,nb_votes,nb_seen,straight_average,weighted_average,bayesian_average,anime_id,title,anime_japanese,title_synonyms,image_url,type,source,episodes,status,airing,aired_string,aired,duration,rating,score,scored_by,rank,popularity,members,favorites,background,premiered,broadcast,related,producer,licensor,studio,genre,opening_theme,ending_theme
Fullmetal Alchemist: Brotherhood,5815,10858,9.106100082397461,9.095100402832031,9.091821670532227,5114.0,Fullmetal Alchemist: Brotherhood,鋼の錬金術師 FULLMETAL ALCHEMIST,"Hagane no Renkinjutsushi: Fullmetal Alchemist, Fullmetal Alchemist (2009), FMA",https://myanimelist.cdn-dena.com/images/anime/5/47421.jpg,TV,Manga,64.0,Finished Airing,False,"Apr 5, 2009 to Jul 4, 2010","{'from': '2009-04-05', 'to': '2010-07-04'}",24 min. per ep.,R - 17+ (violence & profanity),9.25,733592.0,1.0,4.0,1199091.0,106895.0,"Fullmetal Alchemist: Brotherhood is an alternate retelling of Hiromu Arakawa&#039;s Fullmetal Alchemist manga that is closer to the source material than the previous 2003 adaptation, this time covering the entire story.On March 31, 2016, FUNimation Entertainment&#039;s license to the series expired.",Spring 2009,Sundays at 17:00 (JST),"{'Adaptation': [{'mal_id': 25, 'type': 'manga', 'url': 'https://myanimelist.net/manga/25/Fullmetal_Alchemist', 'title': 'Fullmetal Alchemist'}], 'Alternative version': [{'mal_id': 121, 'type': 'anime', 'url': 'https://myanimelist.net/anime/121/Fullmetal_Alchemist', 'title': 'Fullmetal Alchemist'}], 'Side story': [{'mal_id': 6421, 'type': 'anime', 'url': 'https://myanimelist.net/anime/6421/Fullmetal_Alchemist__Brotherhood_Specials', 'title': 'Fullmetal Alchemist: Brotherhood Specials'}, {'mal_id': 9135, 'type': 'anime', 'url': 'https://myanimelist.net/anime/9135/Fullmetal_Alchemist__The_Sacred_Star_of_Milos', 'title': 'Fullmetal Alchemist: The Sacred Star of Milos'}], 'Spin-off': [{'mal_id': 7902, 'type': 'anime', 'url': 'https://myanimelist.net/anime/7902/Fullmetal_Alchemist__Brotherhood_-_4-Koma_Theater', 'title': 'Fullmetal Alchemist: Brotherhood - 4-Koma Theater'}]}","Aniplex, Square Enix, Mainichi Broadcasting System, Studio Moriken","Funimation, Aniplex of America",Bones,"Action, Military, Adventure, Comedy, Drama, Magic, Fantasy, Shounen","['#1: ""again"" by YUI (eps 1-14)', '#2: ""Hologram (ホログラム)"" by NICO Touches the Walls (eps 15-26)', '#3: ""Golden Time Lover (ゴールデンタイムラバー)"" by Sukima Switch (eps 27-38)', '#4: ""Period"" by Chemistry (eps 39-50)', '#5: ""Rain (レイン)"" by SID (eps 51-62)']","['#1: ""Uso (嘘)"" by SID (eps 1-14)', '#2: ""LET IT OUT"" by Miho Fukuhara (eps 15-26)', '#3: ""Tsunaida Te (つないだ手)"" by Lil&#039;B (eps 27-38)', '#4: ""Shunkan Sentimental (瞬間センチメンタル)"" by SCANDAL (eps 39-50)', '#5: ""RAY OF LIGHT"" by Nakagawa Shouko (eps 51-62)', '#6: ""Rain (レイン)"" by SID (ep 63)', '#7: ""Hologram (ホログラム)"" by NICO Touches the Walls (ep 64)']"
your name.,1100,1481,9.104499816894531,9.087200164794922,9.07010269165039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steins;Gate,4655,6811,9.138099670410156,9.059100151062012,9.055098533630371,9253.0,Steins;Gate,STEINS;GATE,,https://myanimelist.cdn-dena.com/images/anime/5/73199.jpg,TV,Visual novel,24.0,Finished Airing,False,"Apr 6, 2011 to Sep 14, 2011","{'from': '2011-04-06', 'to': '2011-09-14'}",24 min. per ep.,PG-13 - Teens 13 or older,9.14,563857.0,5.0,8.0,1010330.0,92423.0,Steins;Gate is based on 5pb. and Nitroplus&#039; visual novel of the same title.,Spring 2011,Wednesdays at 02:05 (JST),"{'Adaptation': [{'mal_id': 17517, 'type': 'manga', 'url': 'https://myanimelist.net/manga/17517/Steins_Gate', 'title': 'Steins;Gate'}], 'Alternative setting': [{'mal_id': 4975, 'type': 'anime', 'url': 'https://myanimelist.net/anime/4975/ChäoS_HEAd', 'title': 'ChäoS;HEAd'}, {'mal_id': 13599, 'type': 'anime', 'url': 'https://myanimelist.net/anime/13599/Robotics_Notes', 'title': 'Robotics;Notes'}, {'mal_id': 30485, 'type': 'anime', 'url': 'https://myanimelist.net/anime/30485/ChäoS_Child', 'title': 'ChäoS;Child'}, {'mal_id': 32962, 'type': 'anime', 'url': 'https://myanimelist.net/anime/32962/Occultic_Nine', 'title': 'Occultic;Nine'}], 'Sequel': [{'mal_id': 10863, 'type': 'anime', 'url': 'https://myanimelist.net/anime/10863/Steins_Gate__Oukoubakko_no_Poriomania', 'title': 'Steins;Gate: Oukoubakko no Poriomania'}], 'Other': [{'mal_id': 27957, 'type': 'anime', 'url': 'https://myanimelist.net/anime/27957/Steins_Gate__Soumei_Eichi_no_Cognitive_Computing', 'title': 'Steins;Gate: Soumei Eichi no Cognitive Computing'}], 'Alternative version': [{'mal_id': 32188, 'type': 'anime', 'url': 'https://myanimelist.net/anime/32188/Steins_Gate__Kyoukaimenjou_no_Missing_Link_-_Divide_By_Zero', 'title': 'Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero'}]}","Frontier Works, Media Factory, Movic, AT-X, Kadokawa Pictures Japan, Nitroplus",Funimation,White Fox,"Thriller, Sci-Fi","['""Hacking to the Gate"" by Kanako Itou']","['#1: ""Toki Tsukasadoru Juuni no Meiyaku (刻司ル十二ノ盟約)"" by Yui Sakakibara (eps 1-21)', '#2: ""Fake Verthandi"" by Takeshi Abo (ep 22)', '#3: ""Sky Clad no Kansokusha (スカイクラッドの観測者)"" by Kanako Itou (ep 23)', '#4: ""Another Heaven"" by Kanako Itou (ep 24)']"
Clannad After Story,5180,8361,8.951000213623047,9.055299758911133,9.051711082458496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rurouni Kenshin: Trust Betrayal (OAV),6649,10385,8.923399925231934,8.972299575805664,8.96965217590332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code Geass: Lelouch of the Rebellion R2,7868,12551,9.020099639892578,8.932000160217285,8.929823875427246,2904.0,Code Geass: Hangyaku no Lelouch R2,コードギアス 反逆のルルーシュ 続編,"Code Geass: Hangyaku no Lelouch 2nd Season, Code Geass: Hangyaku no Lelouch Second Season",https://myanimelist.cdn-dena.com/images/anime/4/9391.jpg,TV,Original,25.0,Finished Airing,False,"Apr 6, 2008 to Sep 28, 2008","{'from': '2008-04-06', 'to': '2008-09-28'}",24 min. per ep.,R - 17+ (violence & profanity),8.95,543904.0,18.0,22.0,791396.0,44230.0,"Code Geass: Hangyaku no Lelouch R2 is an original anime series by Sunrise animation studio with original character designs by the all-female Japanese manga artist group CLAMP. Manga and light novels based off the show have been published by Kadokawa Shoten. The show has sold millions of DVDs and Blu-ray volumes and is extremely popular in both Japan and North America. The show is known for its multi-genre appeal and for its diverse cast of characters who face many moral dilemmas over the course of the series.The series won: ""The Best TV Animation"" award at the thirteenth Animation Kobe event in 2008, and ""The Most Popular Anime"" award at the Animage &#039;s 30th Annual Anime Grand Prix.",Spring 2008,Sundays at 17:00 (JST),"{'Adaptation': [{'mal_id': 1528, 'type': 'manga', 'url': 'https://myanimelist.net/manga/1528/Code_Geass__Hangyaku_no_Lelouch', 'title': 'Code Geass: Hangyaku no Lelouch'}, {'mal_id': 107645, 'type': 'manga', 'url': 'https://myanimelist.net/manga/107645/Code_Geass__Hangyaku_no_Lelouch_R2', 'title': 'Code Geass: Hangyaku no Lelouch R2'}], 'Prequel': [{'mal_id': 1575, 'type': 'anime', 'url': 'https://myanimelist.net/anime/1575/Code_Geass__Hangyaku_no_Lelouch', 'title': 'Code Geass: Hangyaku no Lelouch'}], 'Side story': [{'mal_id': 5163, 'type': 'anime', 'url': 'https://myanimelist.net/anime/5163/Code_Geass__Hangyaku_no_Lelouch_R2_Picture_Drama', 'title': 'Code Geass: Hangyaku no Lelouch R2 Picture Drama'}, {'mal_id': 8728, 'type': 'anime', 'url': 'https://myanimelist.net/anime/8728/Code_Geass__Hangyaku_no_Lelouch_-_Kiseki_no_Birthday_Picture_Drama', 'title': 'Code Geass: Hangyaku no Lelouch - Kiseki no Birthday Picture Drama'}, {'mal_id': 9591, 'type': 'anime', 'url': 'https://myanimelist.net/anime/9591/Code_Geass__Hangyaku_no_Lelouch_R2_Flash_Specials', 'title': 'Code Geass: Hangyaku no Lelouch R2 Flash Specials'}, {'mal_id': 33156, 'type': 'anime', 'url': 'https://myanimelist.net/anime/33156/Code_Geass__Hangyaku_no_Lelouch_R2_Picture_Drama_-_Last_Moratorium', 'title': 'Code Geass: Hangyaku no Lelouch R2 Picture Drama - Last Moratorium'}], 'Summary': [{'mal_id': 6768, 'type': 'anime', 'url': 'https://myanimelist.net/anime/6768/Code_Geass__Hangyaku_no_Lelouch_R2_Special_Edition_Zero_Requiem', 'title': 'Code Geass: Hangyaku no Lelouch R2 Special Edition Zero Requiem'}], 'Sequel': [{'mal_id': 34437, 'type': 'anime', 'url': 'https://myanimelist.net/anime/34437/Code_Geass__Fukkatsu_no_Lelouch', 'title': 'Code Geass: Fukkatsu no Lelouch'}], 'Alternative version': [{'mal_id': 34439, 'type': 'anime', 'url': 'https://myanimelist.net/anime/34439/Code_Geass__Hangyaku_no_Lelouch_II_-_Handou', 'title': 'Code Geass: Hangyaku no Lelouch II - Handou'}, {'mal_id': 34440, 'type': 'anime', 'url': 'https://myanimelist.net/anime/34440/Code_Geass__Hangyaku_no_Lelouch_III_-_Oudou', 'title': 'Code Geass: Hangyaku no Lelouch III - Oudou'}]}","Bandai Visual, Mainichi Broadcasting System, Bandai, Bandai Namco Entertainment, Hakuhodo DY Media Partners","Funimation, Bandai Entertainment",Sunrise,"Action, Military, Sci-Fi, Super Power, Drama, Mecha","['#1: ""02~O-Two~ (02~ｵｰ･ﾂｰ~)"" by Orange Range (eps 1-12)', '#2: ""WORLD END"" by FLOW (eps 13-25)']","['#1: ""Shiawase Neiro (ｼｱﾜｾﾈｲﾛ)"" by Orange Range (eps 1-12)', '#2: ""Waga Routashi Aku no Hana (わが﨟たし悪の華)"" by ALI PROJECT (eps 13-25)']"
Spirited Away,10546,15397,8.969799995422363,8.926199913024902,8.924582481384277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mushishi: The Next Chapter,512,848,8.824199676513672,8.933699607849121,8.900931358337402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cowboy Bebop,12243,21026,8.933099746704102,8.895099639892578,8.893735885620117,1.0,Cowboy Bebop,カウボーイビバップ,,https://myanimelist.cdn-dena.com/images/anime/4/19644.jpg,TV,Original,26.0,Finished Airing,False,"Apr 3, 1998 to Apr 24, 1999","{'from': '1998-04-03', 'to': '1999-04-24'}",24 min. per ep.,R - 17+ (violence & profanity),8.81,365465.0,27.0,38.0,707773.0,39145.0,"When Cowboy Bebop first aired in spring of 1998 on TV Tokyo, only episodes 2, 3, 7-15, and 18 were broadcast, it was concluded with a recap special known as Yose Atsume Blues. This was due to anime censorship having increased following the big controversies over Evangelion, as a result most of the series was pulled from the air due to violent content. Satellite channel WOWOW picked up the series in the fall of that year and aired it in its entirety uncensored. Cowboy Bebop was not a ratings hit in Japan, but sold over 19,000 DVD units in the initial release run, and 81,000 overall. Protagonist Spike Spiegel won Best Male Character, and Megumi Hayashibara won Best Voice Actor for her role as Faye Valentine in the 1999 and 2000 Anime Grand Prix, respectively.Cowboy Bebop&#039;s biggest influence has been in the United States, where it premiered on Adult Swim in 2001 with many reruns since. The show&#039;s heavy Western influence struck a chord with American viewers, where it became a ""gateway drug"" to anime aimed at adult audiences.",Spring 1998,Saturdays at 01:00 (JST),"{'Adaptation': [{'mal_id': 173, 'type': 'manga', 'url': 'https://myanimelist.net/manga/173/Cowboy_Bebop', 'title': 'Cowboy Bebop'}, {'mal_id': 174, 'type': 'manga', 'url': 'https://myanimelist.net/manga/174/Shooting_Star_Bebop__Cowboy_Bebop', 'title': 'Shooting Star Bebop: Cowboy Bebop'}], 'Side story': [{'mal_id': 5, 'type': 'anime', 'url': 'https://myanimelist.net/anime/5/Cowboy_Bebop__Tengoku_no_Tobira', 'title': 'Cowboy Bebop: Tengoku no Tobira'}, {'mal_id': 17205, 'type': 'anime', 'url': 'https://myanimelist.net/anime/17205/Cowboy_Bebop__Ein_no_Natsuyasumi', 'title': 'Cowboy Bebop: Ein no Natsuyasumi'}], 'Summary': [{'mal_id': 4037, 'type': 'anime', 'url': 'https://myanimelist.net/anime/4037/Cowboy_Bebop__Yose_Atsume_Blues', 'title': 'Cowboy Bebop: Yose Atsume Blues'}]}",Bandai Visual,"Funimation, Bandai Entertainment",Sunrise,"Action, Adventure, Comedy, Drama, Sci-Fi, Space","['""Tank!"" by The Seatbelts (eps 1-25)']","['#1: ""The Real Folk Blues"" by The Seatbelts feat. Mai Yamane (eps 1-12, 14-25)', '#2: ""Space Lion"" by The Seatbelts (ep 13)', '#3: ""Blue"" by The Seatbelts feat. Mai Yamane (ep 26)']"
Princess Mononoke,9835,15401,8.928099632263184,8.864999771118164,8.8633394241333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
